plz,adresse,bezirk,anschluss_1,anschluss_2,anschluss_3,anschluss_4,ladeleistung_1,ladeleistung_2,ladeleistung_3,ladeleistung_4,anzahl_ladepunkte,lng,lat
"10437",Kopenhagener Str. 27,Pankow,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.4045079999995,52.548800999997
"10435",Swinemünder Str. 126,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.4033309999995,52.535343999997
"10119",Weinbergsweg 10,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.4030039999995,52.5318979999971
"10115",Ruppiner Str. 5,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3997319999994,52.538243999997
"10115",Krausnickstr. 13,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3983149999995,52.525455999997
"10115",Koppenplatz 11,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3972789999995,52.5285129999971
"10115",Anklamer Str. 12,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3971229999994,52.5347019999971
"10115",Ackerstr. 29,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3953699999995,52.532940999997
"10115",Schröderstr. 9,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3943799999994,52.530866999997
"13357",Sonderburger Str. 26,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3940069999995,52.554775999997
"13355",Usedomer Str. 4,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3922399999993,52.5408129999971
"13359",Nordbahnstr. 5,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3918009999994,52.565188999997
"13355",Rügener Str. 26,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3917269999994,52.545026999997
"10115",Borsigstr. 1,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3912719999994,52.528090999997
"13355",Hussitenstr. 76,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3905379999994,52.5364469999971
"13355",Ramlerstr. 1,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3898029999994,52.5471099999969
"13357",Heidebrinker Str. 21,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3882889999994,52.551831999997
