usage,usage_plain,lng,lat
10,Housing area,13.402456231421,52.3810423911403
10,Housing area,13.4038924118587,52.3810855759151
10,Housing area,13.405138361285,52.3814848061483
10,Housing area,13.4066296829284,52.3814493301152
10,Housing area,13.4086872720056,52.3815645555981
10,Housing area,13.4148263802475,52.3825674830821
10,Housing area,13.4177559680763,52.3829270704286
10,Housing area,13.4203589935506,52.3833720360263
10,Housing area,13.4225301024486,52.3841030326215
10,Housing area,13.3967587970859,52.3779914639046
10,Housing area,13.3991424307195,52.3781035826264
10,Housing area,13.4007969659547,52.3782556474144
10,Housing area,13.4033128907994,52.3792882281886
10,Housing area,13.4048513360397,52.3796170375538
10,Housing area,13.4072450775861,52.3800698308425
10,Housing area,13.4092914732329,52.3805637121358
10,Housing area,13.4038251257559,52.3781111025176
10,Housing area,13.4059766408147,52.3778870394195
10,Housing area,13.4079735656794,52.3789289466042
10,Housing area,13.4101955304245,52.3792899163664
10,Housing area,13.4086590815793,52.377767408391
10,Housing area,13.4058668227271,52.3771261821763
10,Housing area,13.4090775442907,52.3769035885148
10,Housing area,13.4153213401344,52.3815289715432
10,Housing area,13.4181993215946,52.3814599809865
10,Housing area,13.4210996994263,52.3819559157824
10,Housing area,13.4239787744859,52.383424072003
10,Housing area,13.4252262461949,52.3831636499311
160,Allotment garden,13.4191410534856,52.3801195636121
100,Forest,13.4203181287174,52.3767263008097
100,Forest,13.4199974056108,52.3807760127419
100,Forest,13.4194921613333,52.3786768986356
10,Housing area,13.4186756704681,52.3766995136432
130,Park / green space,13.3922582913127,52.4050095214839
130,Park / green space,13.4028832848423,52.3840307921602
130,Park / green space,13.4183571876413,52.3855599527983
130,Park / green space,13.4060596469194,52.3835516617647
130,Park / green space,13.4074109181646,52.3811375873195
130,Park / green space,13.3947646606173,52.3800151931388
130,Park / green space,13.4059079429009,52.3803622689936
130,Park / green space,13.4059353183457,52.378827350056
130,Park / green space,13.4025329244749,52.4121118433959
130,Park / green space,13.4046131829644,52.4084503732104
130,Park / green space,13.4059174475121,52.4057092293984
140,City square / promenade,13.4064951440248,52.4047808820543
130,Park / green space,13.4062581292263,52.4014916996187
130,Park / green space,13.406554151898,52.3961664742686
130,Park / green space,13.4070795090015,52.3910407563327
130,Park / green space,13.4090230158673,52.3879482251368
130,Park / green space,13.390765827186,52.3945799307541
130,Park / green space,13.3865242658526,52.3943102198577
10,Housing area,13.4040268093372,52.3993729825118
10,Housing area,13.4045071416217,52.4003992300934
10,Housing area,13.3938729111015,52.4003325667921
10,Housing area,13.3923517638203,52.3994557739567
10,Housing area,13.3946096463704,52.399107875561
10,Housing area,13.3949135802547,52.3979295327981
140,City square / promenade,13.3938253128348,52.3889676562456
10,Housing area,13.4007922005987,52.3936600214064
10,Housing area,13.399607499468,52.3908322541669
10,Housing area,13.4009924614621,52.3896592917191
10,Housing area,13.4029402989533,52.3912676338463
60,Utility area,13.4022365090254,52.3891554732443
10,Housing area,13.4041849246067,52.3879143051261
10,Housing area,13.4066162471994,52.387540545366
40,Commercial and industrial area,13.4084210099774,52.3873574494748
10,Housing area,13.409753287318,52.4042735569981
10,Housing area,13.4109190813564,52.4037569974262
10,Housing area,13.4051535633413,52.3967840479054
10,Housing area,13.4058459757626,52.3969199472331
50,Public / special use,13.4055995969846,52.394558999575
10,Housing area,13.4044697943128,52.3889155672102
190,Sport use,13.4052177020743,52.3911859292794
50,Public / special use,13.405572633599,52.3927443436464
10,Housing area,13.41108342762,52.3891160911486
10,Housing area,13.4147380881761,52.3886158083744
10,Housing area,13.4163928726615,52.3896162885519
10,Housing area,13.4193973042408,52.3897529688969
10,Housing area,13.4089282141484,52.3928962519357
21,Mixed area,13.4081049173008,52.3913742325617
21,Mixed area,13.4083851796978,52.390455144544
10,Housing area,13.4089288968116,52.3891426365488
10,Housing area,13.3939071473024,52.4017009524901
10,Housing area,13.3928962516851,52.401764986495
10,Housing area,13.4180102940667,52.4082802217116
10,Housing area,13.4220931351997,52.398146046228
10,Housing area,13.4178794064015,52.3936952353093
130,Park / green space,13.4147556066232,52.3931598227719
10,Housing area,13.4135521814027,52.393936786465
50,Public / special use,13.4182413638257,52.3916655537986
10,Housing area,13.4179732136752,52.3905024453097
10,Housing area,13.4218866796355,52.3917753517727
10,Housing area,13.4233011866518,52.3927948306418
21,Mixed area,13.4102326224377,52.3855671512428
10,Housing area,13.4118862888752,52.3838287295671
150,Cemetery,13.4103354309846,52.3834952712579
50,Public / special use,13.4126377701421,52.3796589177361
10,Housing area,13.4140134053018,52.3778051291942
110,Body of water,13.4144858750372,52.3768950294162
10,Housing area,13.4118998609738,52.3818160177185
10,Housing area,13.4135602712375,52.3814139646787
10,Housing area,13.4126336440637,52.380755080501
10,Housing area,13.4103976583501,52.3814068154244
130,Park / green space,13.392107669113,52.4058047827974
10,Housing area,13.4166349298635,52.4033475861369
40,Commercial and industrial area,13.415984802403,52.4018702529132
172,"Fallow area, meadow-like vegetation",13.4187600451892,52.4039977891852
40,Commercial and industrial area,13.4137604288066,52.4010264980866
10,Housing area,13.4120963162488,52.4004710184403
10,Housing area,13.414420437269,52.4006073155146
10,Housing area,13.417206170297,52.4010028540731
10,Housing area,13.4194786553106,52.401120636596
80,Traffic area (without roads),13.3931951868667,52.3926705748528
80,Traffic area (without roads),13.3962882160847,52.3875148871723
171,"Fallow area, no vegetation",13.3977725899021,52.3846309401827
80,Traffic area (without roads),13.3979803514483,52.384693741561
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4006942213001,52.3798828474054
10,Housing area,13.445960168582,52.4880020432719
10,Housing area,13.4470128753912,52.4874948002974
10,Housing area,13.4445353319976,52.486948821669
10,Housing area,13.4444705354872,52.4861248044411
10,Housing area,13.4489689820773,52.486766724641
10,Housing area,13.4481277365213,52.4858865298163
10,Housing area,13.4463518030497,52.4848074705912
10,Housing area,13.4472154655504,52.4853925444825
10,Housing area,13.4511484223695,52.4857083230163
160,Allotment garden,13.4514474117808,52.4848972875673
50,Public / special use,13.4528327389071,52.4839720476605
10,Housing area,13.4543060538395,52.4840767327028
130,Park / green space,13.4450804995203,52.4838065919966
10,Housing area,13.4441315561168,52.4822930958632
10,Housing area,13.444928217508,52.482881541855
10,Housing area,13.4468466112794,52.4827512423492
10,Housing area,13.4462773625631,52.4815351169619
130,Park / green space,13.4480214540446,52.4821191102769
10,Housing area,13.4494337914857,52.4814332804426
40,Commercial and industrial area,13.4522753742186,52.4822808495869
160,Allotment garden,13.4511147767813,52.482884133167
10,Housing area,13.4507142912552,52.4807719131215
10,Housing area,13.4452460513544,52.4807529103567
10,Housing area,13.4444537531979,52.48015269746
10,Housing area,13.4436494688808,52.4788136866549
10,Housing area,13.4469678895631,52.4788613168149
10,Housing area,13.4477630629715,52.4794625575951
50,Public / special use,13.450235522569,52.4782505792643
130,Park / green space,13.4494515025839,52.4776462433918
10,Housing area,13.4487083230048,52.4765734058347
10,Housing area,13.4471721083882,52.476831560886
10,Housing area,13.4459058715236,52.4780860994935
50,Public / special use,13.4457084957392,52.4769427694649
10,Housing area,13.4444750868685,52.4776293919675
50,Public / special use,13.444573480229,52.4763251516767
10,Housing area,13.4460986206671,52.4753657047739
10,Housing area,13.4483145562693,52.4750069235412
10,Housing area,13.4548342195197,52.4737468321445
10,Housing area,13.4533578792803,52.4745092413207
10,Housing area,13.4523086795758,52.4737342124047
10,Housing area,13.4538141063491,52.4731920178279
10,Housing area,13.4539568491521,52.4725279657175
10,Housing area,13.4509719384753,52.4730465346776
10,Housing area,13.4482883426799,52.4738163939927
140,City square / promenade,13.4463925072499,52.4742458887528
21,Mixed area,13.4467280684536,52.4732275903081
10,Housing area,13.4440747973658,52.4726167624933
50,Public / special use,13.4448052639063,52.4728983859721
10,Housing area,13.4445834293157,52.4713071107377
10,Housing area,13.4467717591081,52.4714561128607
10,Housing area,13.4526185070216,52.4719416847348
10,Housing area,13.450936265735,52.4712685978082
10,Housing area,13.4490400092764,52.4709625448936
10,Housing area,13.4468397468189,52.4706587665432
21,Mixed area,13.4444181449548,52.4703821515297
130,Park / green space,13.4480783271356,52.4828966309788
10,Housing area,13.4488017094727,52.4802604100058
190,Sport use,13.4518192756618,52.4770839952935
10,Housing area,13.4537063209742,52.4754777683942
160,Allotment garden,13.4532777350385,52.4763114690687
50,Public / special use,13.4507007599103,52.4751702239926
50,Public / special use,13.4474474901603,52.472156355712
10,Housing area,13.4495418096847,52.4723337885722
50,Public / special use,13.4490318172749,52.4721282730624
40,Commercial and industrial area,13.4492792500443,52.4838014999113
21,Mixed area,13.4438275648106,52.4759314905703
130,Park / green space,13.4443533668108,52.4739784920586
110,Body of water,13.4483109975223,52.4829871804049
40,Commercial and industrial area,13.4659028314898,52.4599258636275
60,Utility area,13.4584394364789,52.4601804315185
40,Commercial and industrial area,13.4584478847911,52.461957787277
190,Sport use,13.4566413249194,52.4635540171056
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4547595009671,52.4617334933823
130,Park / green space,13.4542158546817,52.4627535276703
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4532109206018,52.4632490694697
130,Park / green space,13.4548021578484,52.4643913062718
130,Park / green space,13.454866004037,52.4636011416226
60,Utility area,13.4560548859023,52.4604216146505
40,Commercial and industrial area,13.4551580250657,52.4649867889554
60,Utility area,13.4534216543883,52.4645872353752
10,Housing area,13.453378672798,52.4813097512359
130,Park / green space,13.4553741760173,52.4830157641637
40,Commercial and industrial area,13.4572389652915,52.4834993051977
10,Housing area,13.4565687277016,52.480010655059
160,Allotment garden,13.4567518653512,52.4813461735052
160,Allotment garden,13.4618816481912,52.4808293216273
40,Commercial and industrial area,13.4636971628048,52.4807162269388
90,Construction site,13.4601476159609,52.4793831989435
160,Allotment garden,13.4650795083684,52.4787711733304
60,Utility area,13.4542998124945,52.4787710343688
80,Traffic area (without roads),13.4529604426632,52.4781477800212
40,Commercial and industrial area,13.4541949703765,52.4775307047832
40,Commercial and industrial area,13.4558898458379,52.4765159887979
40,Commercial and industrial area,13.4575277941566,52.4755174311921
40,Commercial and industrial area,13.4601569575895,52.4755583223321
160,Allotment garden,13.4631781992619,52.4746173841325
10,Housing area,13.4638245929643,52.4738221718903
40,Commercial and industrial area,13.4601076650331,52.4729924887709
90,Construction site,13.4619373972048,52.4746736256038
90,Construction site,13.4615842232199,52.472091940682
40,Commercial and industrial area,13.4490126473749,52.4691578992211
40,Commercial and industrial area,13.4516055039116,52.4695454565126
21,Mixed area,13.4548211853961,52.469972089834
40,Commercial and industrial area,13.459035846338,52.4691682488181
80,Traffic area (without roads),13.4586770657329,52.471198667611
40,Commercial and industrial area,13.4620259435345,52.4701769027676
90,Construction site,13.4602607012233,52.4705558239292
10,Housing area,13.4661327087048,52.4702112519196
10,Housing area,13.4673651045535,52.4705939757101
10,Housing area,13.468758700312,52.4709622041785
10,Housing area,13.4698440171417,52.4712937071285
160,Allotment garden,13.4707405573715,52.4715559974277
10,Housing area,13.471645172632,52.4694497734567
10,Housing area,13.4737215375244,52.4686045232895
10,Housing area,13.472287927336,52.4682703962305
10,Housing area,13.4691742245221,52.4688206926487
130,Park / green space,13.470612221001,52.4676087711962
50,Public / special use,13.4643861219846,52.4695732643486
50,Public / special use,13.4650989722775,52.4678656537173
40,Commercial and industrial area,13.4564879652078,52.4672495773979
90,Construction site,13.459295154361,52.4677991974397
40,Commercial and industrial area,13.4537211430134,52.4679755785839
10,Housing area,13.4676723355037,52.4664819228398
160,Allotment garden,13.4672069361905,52.4661566945063
130,Park / green space,13.4659750618432,52.4687661926657
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.465023837396,52.4590711410986
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4734849045391,52.4588431095977
40,Commercial and industrial area,13.4603868471704,52.4664387383408
90,Construction site,13.4584767369727,52.4652819332958
90,Construction site,13.4573357733809,52.4655665616173
190,Sport use,13.4606364025389,52.4630276485158
40,Commercial and industrial area,13.4621420584599,52.4646747348782
40,Commercial and industrial area,13.4585313943823,52.4754369327811
40,Commercial and industrial area,13.4637485678796,52.4617670645435
40,Commercial and industrial area,13.4668848526685,52.4621822229647
40,Commercial and industrial area,13.4689293455112,52.4624718069067
160,Allotment garden,13.4734198097844,52.4598659218992
10,Housing area,13.4548014629505,52.481299530003
40,Commercial and industrial area,13.4494225830344,52.4667890037335
10,Housing area,13.4702685383203,52.4650501816369
10,Housing area,13.47003658643,52.4636072871328
200,Tree nursery / horticulture,13.4699209946348,52.4645028968629
10,Housing area,13.4727057269114,52.4656842993028
50,Public / special use,13.4741044607627,52.466487916943
190,Sport use,13.4753659236703,52.4670555229056
130,Park / green space,13.4779107065438,52.4642146490678
10,Housing area,13.4774517665285,52.4643421982224
10,Housing area,13.4745730496614,52.4649623643557
10,Housing area,13.4760967819438,52.464479988591
10,Housing area,13.4715811951436,52.4628635152107
10,Housing area,13.4726593045167,52.4636091474191
10,Housing area,13.4748682169971,52.462631789113
10,Housing area,13.4745000182148,52.4613054282064
130,Park / green space,13.4758551077343,52.4610922935469
10,Housing area,13.4648929072916,52.4716251441181
40,Commercial and industrial area,13.4562331135703,52.4718719854728
10,Housing area,13.4634873034492,52.4675180059701
160,Allotment garden,13.4629826928746,52.4683476503046
21,Mixed area,13.4518010523434,52.4794270550175
10,Housing area,13.4659361657644,52.4748535451394
160,Allotment garden,13.4685739020038,52.475943214071
50,Public / special use,13.4672182270393,52.472607818718
110,Body of water,13.4536775314432,52.4802295033434
110,Body of water,13.4562620879355,52.4788275676915
110,Body of water,13.4581526644084,52.4760776370299
110,Body of water,13.4574239548778,52.4716266223968
110,Body of water,13.4565157216493,52.4696714246217
110,Body of water,13.4548591193611,52.4677068391081
110,Body of water,13.4528582263732,52.4668298966562
110,Body of water,13.4534667842478,52.4629073043713
110,Body of water,13.4639585207963,52.459281298866
110,Body of water,13.4735922468007,52.4590125377949
80,Traffic area (without roads),13.4581849005736,52.48153228585
90,Construction site,13.4595816290429,52.483388670747
90,Construction site,13.4588598412667,52.4801388114624
80,Traffic area (without roads),13.4568952085334,52.476056990474
80,Traffic area (without roads),13.4544156094002,52.4718716549232
80,Traffic area (without roads),13.455563167597,52.4729791108876
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4596860851732,52.469572462752
80,Traffic area (without roads),13.4643263900628,52.4691706832332
80,Traffic area (without roads),13.4678539704734,52.4694453539528
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4698141397268,52.4699285357921
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4551370622765,52.4707039529154
130,Park / green space,13.4453884816849,52.4410798184899
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4493809576965,52.4640556905409
21,Mixed area,13.4504587723094,52.4645242896303
40,Commercial and industrial area,13.4520899581001,52.4612778888151
40,Commercial and industrial area,13.4521765230315,52.4628511200518
40,Commercial and industrial area,13.450691118062,52.462723853878
40,Commercial and industrial area,13.449332807751,52.4625598304538
10,Housing area,13.4461010261082,52.4636508061313
21,Mixed area,13.4446362137377,52.4617681520233
40,Commercial and industrial area,13.4474846691794,52.4616722061281
21,Mixed area,13.4513499265579,52.4562681793702
10,Housing area,13.4481352363727,52.4559001960083
50,Public / special use,13.4463043439821,52.4529158132692
10,Housing area,13.445830119772,52.4541419375312
130,Park / green space,13.449244690706,52.4536370708997
190,Sport use,13.4486237638821,52.4550326418886
21,Mixed area,13.4519798452671,52.455389195002
40,Commercial and industrial area,13.4527940931778,52.4545072069395
40,Commercial and industrial area,13.4571907973576,52.4523982230093
160,Allotment garden,13.4578458881319,52.4515712773773
40,Commercial and industrial area,13.4589339667912,52.450962303166
130,Park / green space,13.4631235789471,52.450185309537
160,Allotment garden,13.4596363517468,52.4503100841194
70,Weekend cottage / allotment-garden-type area,13.4608989156827,52.4495698567454
160,Allotment garden,13.4625505479336,52.4484430998496
130,Park / green space,13.4505784889237,52.4520965770954
130,Park / green space,13.447086779134,52.4519620690368
10,Housing area,13.447347131441,52.4514600100489
10,Housing area,13.4460889143206,52.4495714619695
10,Housing area,13.4476056318587,52.4500622595487
10,Housing area,13.4490181034101,52.4501604889261
10,Housing area,13.450505197302,52.4504905323681
10,Housing area,13.4519334878721,52.4507593884398
130,Park / green space,13.4527259837554,52.4493444980079
10,Housing area,13.4530404781075,52.4485556251959
10,Housing area,13.4514415514942,52.4481661180236
10,Housing area,13.4511637138704,52.4489960299166
130,Park / green space,13.4512566303142,52.4485239200755
110,Body of water,13.4512361234499,52.4486500265139
10,Housing area,13.4484887758905,52.4482202702985
